TileID,Cross,Rod,Cassette,Frame,RecruitID,UniqueID,Location,TimePoint,Date,Size
1490,SF,53,27,4,1,1490_1,Side,0,4/09/2020,NA
1307,FS,54,27,4,1,1307_1,Face,0,4/09/2020,7.892
1488,SF,54,27,4,1,1488_1,Top,0,4/09/2020,11.89
1541,SF,54,27,4,1,1541_1,Top,0,4/09/2020,16.03
1743,SS,54,27,4,1,1743_1,Top,0,4/09/2020,14.411
1681,SS,55,28,4,1,1681_1,Face,0,4/09/2020,3.075
1681,SS,55,28,4,2,1681_2,Face,0,4/09/2020,3.918
1209,FS,55,28,4,1,1209_1,Face,0,4/09/2020,2.128
1209,FS,55,28,4,2,1209_2,Face,0,4/09/2020,9.777
1487,SF,55,28,4,1,1487_1,Face,0,4/09/2020,1.348
1487,SF,55,28,4,2,1487_2,Face,0,4/09/2020,2.239
3620,SS,55,28,4,1,3620_1,Face,0,4/09/2020,1.289
1355,FS,56,28,4,1,1355_1,Face,0,4/09/2020,1.446
1214,FS,56,28,4,1,1214_1,Face,0,4/09/2020,74.442
1214,FS,56,28,4,2,1214_2,Face,0,4/09/2020,41.604
1214,FS,56,28,4,3,1214_3,Face,0,4/09/2020,43.234
1214,FS,56,28,4,5,1214_5,Face,0,4/09/2020,40.157
1214,FS,56,28,4,6,1214_6,Face,0,4/09/2020,20.205
1280,FS,56,28,4,1,1280_1,Face,0,4/09/2020,1.973
1386,FS,56,28,4,1,1386_1,Top,0,4/09/2020,5.602
1386,FS,56,28,4,2,1386_2,Top,0,4/09/2020,NA
1386,FS,56,28,4,3,1386_3,Face,0,4/09/2020,3.373
1343,FS,56,28,4,1,1343_1,Top,0,4/09/2020,8.041
1145,FF,57,29,4,2,1145_2,Side,0,4/09/2020,2.667
1145,FF,57,29,4,3,1145_3,Side,0,4/09/2020,1.712
1145,FF,57,29,4,4,1145_4,Side,0,4/09/2020,4.33
1101,FF,57,29,4,1,1101_1,Side,0,4/09/2020,1.508
1101,FF,57,29,4,2,1101_2,Side,0,4/09/2020,1.659
1101,FF,57,29,4,3,1101_3,Side,0,4/09/2020,1.428
1101,FF,57,29,4,4,1101_4,Side,0,4/09/2020,2.032
1101,FF,57,29,4,5,1101_5,Side,0,4/09/2020,0.656
1654,SS,58,29,4,1,1654_1,Side,0,4/09/2020,NA
1654,SS,58,29,4,2,1654_2,Side,0,4/09/2020,NA
1654,SS,58,29,4,3,1654_3,Side,0,4/09/2020,NA
1654,SS,58,29,4,4,1654_4,Side,0,4/09/2020,NA
1654,SS,58,29,4,5,1654_5,Side,0,4/09/2020,NA
1309,FS,58,29,4,1,1309_1,Side,0,4/09/2020,32.995
1309,FS,58,29,4,2,1309_2,Side,0,4/09/2020,5.522
1309,FS,58,29,4,3,1309_3,Side,0,4/09/2020,NA
1633,SS,58,29,4,1,1633_1,Side,0,4/09/2020,2.859
1344,FS,58,29,4,2,1344_2,Side,0,4/09/2020,11.253
1344,FS,58,29,4,3,1344_3,Face,0,4/09/2020,NA
1269,FS,59,30,4,1,1269_1,Face,0,4/09/2020,23.721
1269,FS,59,30,4,2,1269_2,Face,0,4/09/2020,18.617
1269,FS,59,30,4,3,1269_3,Face,0,4/09/2020,5.469
1708,SS,59,30,4,2,1708_2,Side,0,4/09/2020,3.565
